"filename", "language", "JSON", "Markdown", "JavaScript", "JSON with Comments", "TypeScript", "TypeScript React", "CSS", "XML", "HTML", "Log", "Prisma", "comment", "blank", "total"
"d:\Coding\Projects\bettercharts\apps\web\ui\Detention.tsx", "TypeScript React", 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 7, 194
"d:\Coding\Projects\bettercharts\apps\web\ui\HomeworkCategory.tsx", "TypeScript React", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
"d:\Coding\Projects\bettercharts\apps\web\ui\HomeworkItem.tsx", "TypeScript React", 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 7, 167
"d:\Coding\Projects\bettercharts\apps\web\ui\HomeworkModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0, 25, 15, 323
"d:\Coding\Projects\bettercharts\apps\web\ui\Input.tsx", "TypeScript React", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Coding\Projects\bettercharts\apps\web\ui\Label.tsx", "TypeScript React", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Coding\Projects\bettercharts\apps\web\ui\PieChartBreakdown.tsx", "TypeScript React", 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 28, 203
"d:\Coding\Projects\bettercharts\apps\web\ui\Separator.tsx", "TypeScript React", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Coding\Projects\bettercharts\apps\web\ui\SimpleSelect.tsx", "TypeScript React", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 5, 108
"d:\Coding\Projects\bettercharts\apps\web\ui\Switch.tsx", "TypeScript React", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 4, 51
"d:\Coding\Projects\bettercharts\apps\web\ui\Timeline.tsx", "TypeScript React", 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 8, 127
"d:\Coding\Projects\bettercharts\apps\web\ui\Timetable.tsx", "TypeScript React", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 4, 97
"d:\Coding\Projects\bettercharts\apps\web\ui\calendar\CalendarWeekDays.tsx", "TypeScript React", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Coding\Projects\bettercharts\apps\web\ui\calendar\CalendarWeeklyDays.tsx", "TypeScript React", 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 13, 200
"d:\Coding\Projects\bettercharts\apps\web\ui\calendar\Day.tsx", "TypeScript React", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 7, 78
"d:\Coding\Projects\bettercharts\apps\web\ui\calendar\MobileEventsView.tsx", "TypeScript React", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 8, 39
"d:\Coding\Projects\bettercharts\apps\web\ui\calendar\WeekDayContent.tsx", "TypeScript React", 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 4, 16, 159
"d:\Coding\Projects\bettercharts\apps\web\ui\calendar\WeeklyDay.tsx", "TypeScript React", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"d:\Coding\Projects\bettercharts\apps\web\ui\calendar\views\MonthView.tsx", "TypeScript React", 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 4, 30, 201
"d:\Coding\Projects\bettercharts\apps\web\ui\calendar\views\WeekView.tsx", "TypeScript React", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 10, 65
